2026-05-27 18:00:30.292 | INFO     | pipeline:__init__:76 - Pipeline 初始化完成，项目名称: TransVoice
2026-05-27 18:00:30.294 | INFO     | pipeline:run:96 - 开始处理视频: input/Instructor Content/Intro_to_Foundation_-_Candle_Profiling.mp4
2026-05-27 18:00:30.295 | INFO     | pipeline:run:121 - STEP 1: 提取音频
2026-05-27 18:00:30.296 | INFO     | modules.audio.extract_audio:extract_audio:23 - 正在提取音频: input/Instructor Content/Intro_to_Foundation_-_Candle_Profiling.mp4 -> /Users/seven/seven_home/code/cache/Instructor Content/Intro_to_Foundation_-_Candle_Profiling/audio/Intro_to_Foundation_-_Candle_Profiling.wav
2026-05-27 18:01:06.595 | SUCCESS  | modules.audio.extract_audio:extract_audio:51 - 音频提取完成: /Users/seven/seven_home/code/cache/Instructor Content/Intro_to_Foundation_-_Candle_Profiling/audio/Intro_to_Foundation_-_Candle_Profiling.wav
2026-05-27 18:01:06.596 | INFO     | pipeline:run:130 - STEP 2: VAD切片
2026-05-27 18:01:06.596 | INFO     | modules.vad.vad_pipeline:run_vad:22 - 正在进行 VAD 切片: /Users/seven/seven_home/code/cache/Instructor Content/Intro_to_Foundation_-_Candle_Profiling/audio/Intro_to_Foundation_-_Candle_Profiling.wav
2026-05-27 18:02:01.192 | SUCCESS  | modules.vad.vad_pipeline:run_vad:50 - VAD 切片完成，共 213 段: /Users/seven/seven_home/code/cache/Instructor Content/Intro_to_Foundation_-_Candle_Profiling/vad/Intro_to_Foundation_-_Candle_Profiling_segments.json
2026-05-27 18:02:01.201 | INFO     | pipeline:run:139 - STEP 3: 多ASR识别
2026-05-27 18:02:01.201 | INFO     | modules.asr.multi_asr:get_fw_model:26 - 加载 Faster-Whisper 模型: base (cpu)
2026-05-27 18:02:02.776 | INFO     | modules.asr.multi_asr:run_multi_asr:116 - 开始 WhisperX 转录...
2026-05-27 18:03:27.399 | SUCCESS  | modules.asr.multi_asr:run_multi_asr:127 - WhisperX 完成，得到 230 个片段
2026-05-27 18:03:27.400 | INFO     | modules.asr.multi_asr:run_multi_asr:133 - 加载音频数据用于多模型切片对齐...
2026-05-27 18:03:37.537 | WARNING  | modules.asr.multi_asr:get_nemo_models:57 - 未安装 nemo_toolkit。如需使用 Parakeet/Canary，请运行: pip install nemo_toolkit[all]
2026-05-27 18:03:37.537 | INFO     | modules.asr.multi_asr:run_multi_asr:220 - 跳过 NeMo 模型（未安装 nemo_toolkit），将使用 WhisperX + FunASR 进行识别
